Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.5407,110.38,22712160,$2506968221,2506968220.80,Information Technology,2046251,US0378331005,NASDAQ
XOM,EXXON MOBIL CORP,Equity,2.1412,92.45,16398573,$1516048074,1516048073.85,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,2.0942,46.45,31921290,$1482743921,1482743920.50,Information Technology,2588173,US5949181045,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.6009,104.57,10839821,$1133520082,1133520081.97,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.4976,150.15,7061874,$1060340381,1060340381.10,Financials,2073390,US0846707026,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.4155,54.82,18281591,$1002196819,1002196818.62,Financials,2649100,US9497461015,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.3880,25.27,38889381,$982734658,982734657.87,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.3462,91.09,10464200,$953183978,953183978.00,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.2795,62.58,14476581,$905944439,905944438.98,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.1599,112.18,7320882,$821256543,821256542.76,Energy,2838555,US1667641005,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.0735,31.15,24399978,$760059315,760059314.70,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.0618,46.78,16070167,$751762412,751762412.26,Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.0290,17.89,40725952,$728587281,728587281.28,Financials,2295677,US0605051046,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.9597,36.29,18723997,$679493851,679493851.13,Information Technology,2463247,US4581401001,NASDAQ
T,AT&T INC,Equity,0.9530,33.59,20087125,$674726529,674726528.75,Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.9103,42.22,15266203,$644539091,644539090.66,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
